ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22
0,6953,1782,6275,2736,3483,3483,2087,6631,5749,642,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6953,1782,6275,2736,3483,3483,2087,6631,5749,642,0,0,0,0,0,0,0,0,0,0,0,0,0
13,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
15,6953,1782,6275,2736,3483,3483,2087,6631,5749,642,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
17,6953,1782,6275,2736,3483,3483,2087,6631,5749,642,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6953,1782,6275,2736,3483,3483,2087,6631,5749,642,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
23,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
24,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
25,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
26,6953,1782,6275,2736,3483,3483,2087,6631,5749,642,0,0,0,0,0,0,0,0,0,0,0,0,0
27,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
28,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
29,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
30,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
31,6953,1782,6275,2736,3483,3483,2087,6631,5749,642,0,0,0,0,0,0,0,0,0,0,0,0,0
32,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
33,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
34,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
35,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
36,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
37,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
38,6953,1782,6275,2736,3483,3483,2087,6631,5749,642,0,0,0,0,0,0,0,0,0,0,0,0,0
39,6953,1782,6275,2736,3483,3483,2087,6631,5749,642,0,0,0,0,0,0,0,0,0,0,0,0,0
40,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
41,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
42,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
43,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
44,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
45,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
46,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
47,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
48,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
49,6953,1782,6275,2736,3483,3483,2087,6631,5208,419,0,0,0,0,0,0,0,0,0,0,0,0,0
50,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
51,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
52,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
53,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
54,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
55,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
56,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
57,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
58,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
59,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
60,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
61,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
62,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
63,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
64,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
65,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
66,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
67,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
68,6953,1782,6275,2736,3483,3483,2087,6631,5749,642,0,0,0,0,0,0,0,0,0,0,0,0,0
69,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
70,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
71,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
72,6953,1782,6275,2736,3483,3483,2087,6631,5749,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
73,6953,1782,6275,2736,3483,3483,2087,6631,5208,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
