ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56
0,707,686,397,671,339,80,339,225,53,131,19,206,339,339,206,149,147,147,53,53,339,53,53,53,53,225,53,53,53,53,53,53,53,53,53,147,53,53,53,53,53,147,53,147,53,53,147,53,53,147,53,53,53,147,147,147,147
1,636,407,631,51,396,346,364,364,200,53,364,53,309,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
2,495,7,86,751,346,257,257,78,257,78,263,263,257,263,263,257,257,257,53,53,53,53,53,53,53,53,257,53,257,53,257,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
3,390,185,295,75,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
4,42,54,487,104,28,187,187,187,239,187,187,287,187,287,287,187,187,187,187,187,220,287,187,308,144,347,347,144,187,308,187,220,220,347,347,144,24,24,347,24,347,347,347,347,347,24,347,24,347,220,347,24,347,24,347,347,220
5,362,30,127,98,334,297,360,245,30,30,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
6,367,366,367,367,188,269,6,269,264,216,245,264,148,303,223,360,224,224,224,224,360,255,309,309,309,309,224,360,360,360,309,309,360,360,309,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,309,360
7,19,700,724,509,295,213,213,213,213,309,6,162,162,384,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,224,309,309,224,274,274,274,224,274,274,309,309,224,274,325,224,224,36,325,274,274,166,309,325,384,384,384,274
8,388,216,281,26,174,225,362,329,323,255,255,202,41,334,366,366,395,366,395,223,366,395,366,366,223,366,366,366,366,366,366,366,202,366,223,366,366,223,223,366,329,385,223,202,202,223,223,223,202,223,202,223,223,202,202,202,395
9,415,601,597,26,140,404,186,73,752,517,635,534,534,534,746,635,635,21,517,534,517,635,254,534,261,254,261,261,254,125,261,261,261,260,261,254,260,261,260,261,260,261,260,261,80,260,260,260,260,260,260,260,260,260,260,260,260
10,522,493,226,374,404,129,229,119,129,20,323,101,21,137,323,50,32,21,116,254,21,32,32,244,233,197,260,217,32,244,173,261,158,21,162,211,752,130,47,135,378,632,233,378,244,261,244,244,214,378,632,632,214,587,244,244,244
11,323,122,591,354,361,339,283,381,41,115,329,260,115,223,225,260,223,261,41,261,261,260,261,261,260,260,261,261,261,261,260,261,261,261,260,261,260,261,261,260,260,261,260,261,261,261,260,261,261,261,261,261,261,260,261,261,261
12,197,399,259,353,366,241,318,115,115,143,139,139,273,15,273,15,15,15,15,15,80,15,15,15,15,15,15,15,15,15,15,87,15,15,87,15,261,87,15,15,15,15,15,15,87,80,15,15,15,15,15,15,15,15,15,261,15
13,162,290,251,399,191,390,378,273,228,139,87,757,273,273,87,125,87,87,87,125,125,125,125,125,15,87,87,87,80,125,15,15,87,87,125,80,125,87,15,87,15,87,15,139,15,80,125,15,80,203,80,87,15,87,80,15,87
14,770,378,191,810,264,115,245,245,241,115,115,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,261,15,15,15,15,15,15,15,15,15
15,28,2,19,26,273,53,273,366,78,203,147,203,203,203,78,203,283,273,203,78,139,139,203,203,203,139,139,78,203,203,203,203,203,203,203,203,203,203,203,203,203,203,78,203,203,203,203,203,203,203,203,203,203,203,203,203,203
16,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
17,84,613,301,573,86,346,396,125,328,80,80,80,328,328,78,78,78,51,78,225,203,203,203,203,203,225,139,203,86,203,225,51,203,203,203,203,225,203,203,203,225,203,225,203,203,225,225,225,203,203,225,203,203,225,225,225,225
18,626,153,325,89,303,130,378,162,257,257,257,257,231,231,148,231,339,231,339,231,231,257,231,231,231,231,231,231,231,231,131,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
19,346,721,802,42,28,100,6,6,231,40,231,6,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
20,684,413,54,603,30,303,309,79,208,35,6,339,6,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
21,468,718,602,467,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
