ids,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83
0,53,53,53,53,53,53,53
1,53,53,53,53,53,53,53
2,53,53,53,53,53,53,53
3,53,53,53,53,53,53,53
4,53,53,53,53,53,53,53
5,53,53,53,53,53,53,53
6,53,53,53,53,53,53,53
7,53,53,53,53,53,53,53
8,53,53,53,53,53,53,53
9,53,53,53,53,53,53,53
10,53,53,53,53,53,53,53
11,53,53,53,53,53,53,53
12,53,53,53,53,53,53,53
13,53,53,53,53,53,53,53
14,53,53,53,53,53,53,53
15,53,53,53,53,53,53,53
16,53,53,53,53,53,53,53
17,53,53,53,53,53,53,53
18,53,53,53,53,53,53,53
19,53,53,53,53,53,53,53
20,53,53,53,53,53,53,53
21,53,53,53,53,53,53,53
22,53,53,53,53,53,53,53
23,53,53,53,53,53,53,53
24,53,53,53,53,53,53,53
25,53,53,53,53,53,53,53
26,53,53,53,53,53,53,53
27,53,53,53,53,53,53,53
28,53,53,53,53,53,53,53
29,53,53,53,53,53,53,53
30,53,53,53,53,53,53,53
31,53,53,53,53,53,53,53
32,53,53,53,53,53,53,53
33,53,53,53,53,53,53,53
34,53,53,53,53,53,53,53
35,53,53,53,53,53,53,53
36,53,53,53,53,53,53,53
37,53,53,53,53,53,53,53
38,53,53,53,53,53,53,53
39,53,53,53,53,53,53,53
40,53,53,53,53,53,53,53
41,53,53,53,53,53,53,53
42,53,53,53,53,53,53,53
43,53,53,53,53,53,53,53
44,53,53,53,53,53,53,53
45,53,53,53,53,53,53,53
46,53,53,53,53,53,53,53
47,53,53,53,53,53,53,53
48,53,53,53,53,53,53,53
49,53,53,53,53,53,53,53
50,53,53,53,53,53,53,53
51,53,53,53,53,53,53,53
52,53,53,53,53,53,53,53
53,53,53,53,53,53,53,53
54,53,53,53,53,53,53,53
55,53,53,53,53,53,53,53
56,53,53,53,53,53,53,53
57,53,53,53,53,53,53,53
58,53,53,53,53,53,53,53
59,53,53,53,53,53,53,53
60,53,53,53,53,53,53,53
61,53,53,53,53,53,53,53
62,53,53,53,53,53,53,53
63,53,53,53,53,53,53,53
64,53,53,53,53,53,53,53
65,53,53,53,53,53,53,53
66,53,53,53,53,53,53,53
67,53,53,53,53,53,53,53
68,53,53,53,53,53,53,53
69,53,53,53,53,53,53,53
70,53,53,53,53,53,53,53
71,53,53,53,53,53,53,53
72,53,53,53,53,53,53,53
73,53,53,53,53,53,53,53
74,53,53,53,53,53,53,53
75,53,53,53,53,53,53,53
76,53,53,53,53,53,53,53
77,53,53,53,53,53,53,53
78,53,53,53,53,53,53,53
79,53,53,53,53,53,53,53
80,53,53,53,53,53,53,53
81,53,53,53,53,53,53,53
