ids,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99,epoch_100
0,283,53,53,53,53,78,78,53,283,283,283,53,53,283,283,283,53,53,53,283,283,53,53,283
1,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
2,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
3,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
4,371,108,347,106,313,49,121,121,49,108,236,108,337,236,108,347,108,313,65,121,121,108,24,108
5,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
6,105,245,245,245,245,184,35,105,245,245,165,245,35,330,245,35,245,65,35,245,105,245,245,360
7,102,22,346,366,325,325,385,366,325,366,366,22,65,187,12,325,325,325,346,274,366,366,366,366
8,295,22,366,366,295,22,22,366,366,385,22,366,295,385,295,366,295,251,385,295,366,131,22,22
9,261,261,261,261,261,261,261,261,261,261,261,261,261,139,261,261,261,261,261,261,139,261,261,261
10,632,632,632,632,632,206,357,80,632,261,80,369,128,369,776,729,632,261,113,80,369,11,632,632
11,261,261,139,261,261,261,261,261,261,261,261,261,261,261,261,139,261,261,261,203,261,261,261,261
12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,15,139,139,139,15,15,15,139,15,15,15,15,15,139,15,139,15,15,139,15,15,15,139,139
14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,139,15,15,15,15,139,139,15,15
15,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
16,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
17,203,203,203,203,225,203,203,203,225,203,203,203,225,225,203,203,225,139,203,203,203,203,203,203
18,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
19,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
20,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
21,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
22,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
23,368,368,368,368,368,368,368,368,368,92,368,368,247,368,368,368,368,368,368,247,368,368,368,368
24,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
25,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,101,101,80,80,80,101,80
26,80,101,80,80,80,80,80,80,80,80,80,80,21,21,80,80,80,80,80,80,80,80,80,80
27,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323
28,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323
29,323,323,53,263,323,323,323,179,323,323,323,323,323,323,323,218,157,157,115,308,58,314,323,323
30,245,245,84,245,84,245,245,245,245,334,334,245,245,245,84,245,84,129,245,245,245,245,245,245
31,245,245,245,245,245,245,245,245,35,245,245,245,245,245,245,35,245,245,245,245,245,245,35,245
32,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,370,245,245,245,245,245,245
33,19,110,100,36,36,121,671,321,100,488,671,321,321,671,110,36,671,423,671,110,321,364,671,321
34,321,251,321,321,321,321,177,321,321,321,321,177,321,321,143,321,251,177,321,19,128,321,19,251
35,321,321,194,194,794,671,321,647,794,321,321,321,671,194,194,194,321,321,321,794,321,128,194,194
36,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
37,308,14,14,270,84,270,14,14,14,178,14,270,14,14,270,270,14,306,270,84,84,270,270,14
38,114,270,45,379,155,114,16,28,45,365,114,155,365,166,652,45,45,541,145,197,155,45,155,45
39,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
40,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
41,166,166,166,166,166,166,166,166,166,734,166,166,166,166,740,166,166,792,166,166,166,166,166,166
42,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
43,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
44,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
45,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
46,162,162,162,130,130,162,162,130,130,130,162,130,162,130,130,130,130,130,130,130,130,130,130,130
47,130,130,130,190,130,47,47,130,130,190,130,47,295,190,130,130,223,130,130,130,130,190,190,190
48,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
49,161,161,161,161,161,161,161,161,161,161,207,161,161,161,161,161,161,161,161,161,161,161,161,161
50,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
51,207,319,207,319,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,103,207,207,207,207
52,207,319,207,319,319,207,207,207,207,103,207,207,207,319,319,207,207,207,207,207,207,207,207,207
53,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207
54,394,16,16,16,16,394,394,16,394,382,16,16,16,16,16,16,16,16,394,291,16,16,16,16
55,114,373,16,16,114,16,734,16,16,16,16,16,16,16,16,16,114,16,16,114,16,373,16,68
56,328,374,328,16,374,316,290,353,328,361,16,279,16,374,374,328,316,16,274,316,307,328,322,279
57,367,367,327,367,367,327,367,367,367,367,367,327,367,367,367,367,367,367,367,367,367,367,367,367
58,394,394,224,16,394,394,394,382,197,165,16,295,394,16,16,224,382,394,16,224,16,16,16,16
59,367,367,367,367,367,367,367,367,7,367,367,361,367,96,367,367,367,367,367,367,367,367,367,367
60,19,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
61,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
62,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,19,95,95,95,95,95,95,95
63,170,295,170,295,385,385,385,385,385,58,295,295,295,295,170,170,6,385,385,385,385,385,208,385
64,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
65,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
66,66,66,66,66,66,66,66,66,117,66,66,66,66,66,66,196,196,66,66,196,196,66,66,66
67,196,196,196,66,66,66,66,196,66,66,66,99,196,196,196,196,355,66,66,393,196,66,259,196
68,160,356,66,66,66,66,66,66,66,160,66,259,66,66,66,66,259,317,259,259,66,160,66,66
69,222,196,222,222,222,196,196,222,222,222,222,196,222,222,222,222,222,222,222,222,222,222,222,222
70,222,336,222,222,222,222,259,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222
71,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222
72,27,27,245,27,27,27,27,27,27,27,27,27,27,392,27,27,27,27,27,27,27,27,27,27
73,27,27,392,278,27,27,278,27,27,27,27,27,27,234,27,27,278,27,27,27,27,27,27,27
74,209,141,209,81,211,209,276,226,209,209,27,209,209,209,209,209,209,124,209,81,81,209,27,27
75,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
76,8,8,8,8,282,8,369,118,8,76,8,8,8,8,8,8,8,343,252,8,8,8,8,8
77,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
78,46,38,38,38,46,46,38,46,46,38,38,38,352,38,38,38,38,38,38,46,38,38,38,38
79,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
80,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
81,100,351,213,286,391,351,100,213,100,100,391,391,100,100,100,341,391,341,391,36,351,100,100,100
82,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
83,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
84,393,393,393,393,393,393,393,183,183,376,393,393,393,393,393,393,393,393,393,376,393,393,393,393
85,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
86,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
87,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376
88,376,376,376,376,376,376,376,376,376,376,376,376,690,376,376,376,376,376,376,376,376,376,376,376
89,376,376,376,376,376,376,376,376,376,376,376,376,117,376,376,376,376,376,376,376,376,376,376,376
90,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,393,99,99,99
91,99,126,99,67,99,99,99,99,183,196,99,99,99,99,99,99,99,99,66,99,99,99,99,99
92,259,99,99,355,123,99,99,196,99,196,196,99,355,196,196,126,230,126,72,99,99,403,355,355
93,86,273,86,86,86,86,86,86,273,86,273,86,86,86,273,86,86,86,86,86,86,273,134,342
94,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,134,86,86
95,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
96,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273
97,273,273,273,273,273,86,86,273,86,86,273,273,273,273,273,273,86,86,86,273,86,273,273,273
98,273,86,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273
99,105,398,36,398,322,398,189,322,48,322,322,398,322,398,248,194,105,322,322,245,398,398,68,322
100,4,313,148,32,31,148,32,148,197,148,4,316,218,206,388,109,370,148,291,365,206,236,48,32
101,128,211,230,48,48,230,211,230,794,48,48,128,194,48,48,194,211,211,142,48,48,48,211,48
102,145,165,140,145,165,165,140,165,145,165,340,248,274,145,165,274,140,165,165,140,165,245,140,165
103,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
104,187,187,95,308,187,187,224,187,187,140,187,187,379,323,187,381,187,95,187,140,379,187,187,187
105,92,276,320,176,176,176,298,276,176,246,276,176,298,92,276,176,176,85,359,276,320,176,176,176
106,176,176,176,176,176,176,176,176,176,176,176,176,92,176,176,176,271,176,176,176,176,176,176,176
107,176,276,176,176,176,234,276,276,320,320,176,276,276,69,276,176,176,276,276,276,176,234,320,276
108,67,67,67,183,67,67,67,67,67,67,123,67,67,67,67,67,183,393,67,67,67,67,67,67
109,183,67,67,99,67,690,333,67,333,183,67,183,67,333,690,333,333,67,333,222,67,196,333,333
110,67,67,67,67,67,67,67,67,67,67,37,67,67,67,67,67,67,67,67,67,67,67,67,67
111,286,286,351,351,286,286,286,286,286,136,286,102,286,286,286,286,286,70,70,70,70,286,286,286
112,14,286,297,20,195,286,20,20,286,220,286,20,20,20,20,20,20,286,286,297,286,286,286,286
113,286,286,286,286,286,20,297,286,286,20,20,20,286,286,286,286,286,286,286,297,286,182,20,20
114,131,131,131,130,130,131,131,131,131,131,131,131,131,131,131,130,131,131,295,131,131,130,131,131
115,6,178,131,351,212,35,212,162,351,131,212,131,347,223,351,178,257,212,223,347,6,235,131,131
116,131,131,131,131,131,131,131,131,131,131,131,131,131,102,131,131,131,131,131,131,131,131,131,131
117,197,220,71,197,365,197,256,306,71,197,365,365,365,365,365,365,365,365,71,365,365,71,71,365
118,71,269,365,269,365,71,365,365,71,365,269,365,71,71,365,365,365,269,365,365,269,269,269,269
119,365,365,119,365,365,365,365,365,365,365,365,365,269,269,365,269,365,365,365,365,365,269,365,365
120,384,31,371,205,167,229,31,394,291,129,16,370,265,291,334,371,84,394,16,129,197,205,193,193
121,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384
122,265,265,239,268,387,404,22,387,384,384,269,377,387,265,385,384,384,265,387,387,274,265,22,22
123,341,341,341,100,341,341,341,391,341,341,391,341,341,391,341,391,341,391,341,341,341,391,391,341
124,84,82,47,82,20,20,182,314,338,338,20,338,20,47,314,20,82,297,338,84,178,84,297,297
125,341,351,20,341,341,306,391,341,341,341,341,97,341,341,341,286,341,341,341,341,391,341,341,341
126,381,241,148,241,12,148,241,241,241,381,241,314,12,381,241,157,381,241,318,218,314,241,381,191
127,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
128,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
129,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
130,171,171,171,171,116,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
131,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
132,259,259,259,259,66,259,259,259,66,259,259,259,259,259,259,259,259,66,259,259,259,259,259,259
133,305,259,259,259,133,133,317,259,259,336,13,259,259,305,376,259,99,259,37,305,259,259,259,66
134,335,259,222,222,222,222,259,222,259,259,222,259,259,259,259,259,259,259,335,259,259,259,259,259
135,84,382,232,84,232,84,382,232,382,323,232,84,232,338,232,382,382,22,232,232,232,84,382,382
136,210,187,121,211,211,269,297,4,354,232,31,253,253,211,338,191,174,297,323,253,390,354,4,4
137,314,347,314,314,338,232,314,248,338,314,84,314,314,314,20,314,248,114,232,314,314,314,314,314
138,326,236,90,90,90,90,282,90,90,90,90,90,90,90,90,90,25,90,90,90,90,90,90,90
139,252,285,90,90,90,90,90,90,3,90,90,90,90,90,285,90,285,90,90,90,285,3,90,90
140,298,74,193,197,289,289,383,193,289,193,74,193,193,193,193,193,326,197,197,197,90,71,383,383
141,102,188,102,218,255,102,102,309,102,0,102,251,102,102,308,102,179,102,102,323,309,286,218,218
142,102,102,351,339,53,149,102,102,339,351,102,286,102,102,102,149,20,102,131,149,149,131,53,102
143,102,102,115,102,251,23,115,179,23,102,257,115,102,102,23,115,102,251,179,23,179,115,179,179
144,342,342,342,342,342,53,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342
145,342,342,342,78,342,342,342,78,342,342,342,342,342,342,342,342,342,78,342,342,342,342,342,342
146,342,283,342,139,283,78,342,342,139,342,342,342,342,283,78,342,342,283,283,342,134,78,283,283
147,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237
148,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,146,237,237,237,237,237,237,237
149,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237
150,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
151,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
152,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,274,7,7
153,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206
154,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206
155,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206
156,352,118,352,352,118,3,135,156,352,118,156,352,38,352,284,352,352,352,118,352,352,135,352,352
157,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352
158,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352
